id,location name,type,title,features,pool (0/1),sea view (0/1),garage (0/1)
130728,Golden Mile,houses,palatial villa on marbellas golden mile with panoramic sea views,"fireplace, elevator, terrace, mountain view, freight elevator, air conditioning, patio, guest toilet, garden, balcony, sea/lake view, built-in kitchen",0,0,0
130856,Nagüeles,plots,large plot with fantastic views in nagueles,mountain view,0,0,0
130857,Golden Mile,apartments,modern design penthouse on second line beach golden mile,"elevator, terrace, alarm system, mountain view, swimming pool, air conditioning, basement, sea/lake view",1,0,0
130897,Golden Mile,houses,spacious beachside villa casablanca marbella golden mile,"fireplace, elevator, terrace, alarm system, swimming pool, basement, guest toilet, built-in kitchen",1,0,0
130917,Golden Mile,houses,modern designer villa with stunning views golden mile,"fireplace, terrace, alarm system, mountain view, swimming pool, air conditioning, basement, patio, guest toilet, garden, sea/lake view, built-in kitchen",1,0,0
130978,Nagüeles,houses,beautiful villa at the top of nagueles with panoramic views,"security system, fireplace, terrace, jacuzzi, air conditioning, swimming pool, basement, sauna, gym, guest toilet, sea/lake view, built-in kitchen",1,0,0
131009,Nagüeles,apartments,great plot for apartment building nagueles with sea views,"mountain view, sea/lake view",0,0,0
131037,Golden Mile,houses,luxurious villa in private gated community marbella golden mile,"fireplace, elevator, terrace, alarm system, accessible for wheelchairs, mountain view, jacuzzi, swimming pool, air conditioning, basement, sauna, guest toilet, balcony, sea/lake view, built-in kitchen",1,0,0
131058,Golden Mile,houses,villa in luxurious gated community marbella golden mile,"elevator, mountain view, swimming pool, air conditioning, garden, sea/lake view, built-in kitchen",1,0,0
131259,Golden Mile,apartments,beachfront penthouse sea views las cañas marbella golden mile,"security system, elevator, terrace, mountain view, air conditioning, swimming pool, guest toilet, sea/lake view, built-in kitchen",1,0,0
131274,Nagüeles,apartments,duplex penthouse in nagueles with panoramic views,"security system, terrace, mountain view, air conditioning, swimming pool, sea/lake view, built-in kitchen",1,0,0
131297,Golden Mile,houses,opportunity to buy beachfront villa under 1 million on the golden mile,"fireplace, terrace, swimming pool, garden, balcony, built-in kitchen",1,0,0
131403,Golden Mile,apartments,beautiful penthouse in the heart of the marbella's golden mile at a good price,"fireplace, elevator, terrace, alarm system, swimming pool, air conditioning, guest toilet, built-in kitchen",1,0,0
131417,Nagüeles,houses,contemporary villa in nagueles,"fireplace, alarm system, mountain view, air conditioning, guest toilet, built-in kitchen",0,0,0
131512,Nagüeles,houses,beautiful villa for sale in nagueles marbella,"security system, fireplace, terrace, air conditioning, swimming pool, basement, garden, balcony, built-in kitchen",1,0,0
131589,Nagüeles,houses,beautifully presented corner townhouse in el tomillar de nagueles,"terrace, mountain view, jacuzzi, swimming pool, air conditioning, basement, patio, attic, garden, balcony, sea/lake view, built-in kitchen",1,0,0
131650,Nagüeles,houses,great opportunity new townhouse in a top area of nagueles,"fireplace, terrace, accessible for wheelchairs, mountain view, swimming pool, air conditioning, basement, patio, lake view, guest toilet, garden, balcony, built-in kitchen",1,0,0
131694,Golden Mile,apartments,exceptional beachfront apartment opportunity in port oasis golden mile,"terrace, swimming pool, air conditioning, built-in kitchen, senior oriented",1,0,0
131703,Nagüeles,apartments,beautiful corner apartment with private entrance in nagueles,"fireplace, terrace, swimming pool, garden",1,0,0
131765,Nagüeles,houses,townhouse at the best price in nagueles,"fireplace, swimming pool, air conditioning, garden",1,0,0
131820,Nagüeles,houses,charming townhouse in nagueles,"fireplace, terrace, air conditioning, swimming pool, guest toilet, garden, sea/lake view, built-in kitchen",1,0,0
131878,Nagüeles,apartments,bright apartment with private garden in nagueles,"fireplace, elevator, terrace, alarm system, swimming pool, air conditioning, garden, built-in kitchen",1,0,0
131958,Golden Mile,houses,modern villa frontline beach - golden mile,"fireplace, terrace, alarm system, swimming pool, air conditioning, guest toilet, waterfront, garden, sea/lake view, built-in kitchen",1,0,0
131977,Golden Mile,houses,magnificent villa - golden mile,"fireplace, alarm system, guest apartment, mountain view, jacuzzi, swimming pool, air conditioning, sauna, garden, balcony, built-in kitchen",1,0,0
132013,Nagüeles,houses,charming villa in nagueles,"security system, fireplace, terrace, air conditioning, swimming pool, basement, guest toilet, garden, balcony, built-in kitchen",1,0,0
132037,Golden Mile,houses,small beachside villa in oasis club on the golden mile,"fireplace, terrace, swimming pool, garden, balcony, sea/lake view, built-in kitchen",1,0,0
132041,Golden Mile,houses,amazing beachside villa on the golden mile,"fireplace, alarm system, accessible for wheelchairs, guest apartment, swimming pool, air conditioning, basement, guest toilet, sea/lake view, built-in kitchen",1,0,0
132049,Golden Mile,houses,villa close to beach on the golden mile - prices for long term or short term on request,"fireplace, guest apartment, jacuzzi, basement, patio, built-in kitchen, sea/lake view, terrace, alarm system, mountain view, swimming pool, air conditioning, garden, balcony",1,0,0
132055,Golden Mile,houses,exclusive beachfront villa marbella golden mile,"fireplace, elevator, terrace, alarm system, mountain view, jacuzzi, swimming pool, air conditioning, basement, sauna, gym, guest toilet, waterfront, sea/lake view, built-in kitchen",1,0,0
133646,Nagüeles,houses,"13 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 13, bathrooms: 12, floor size (m2): 672, plot size (m2): 4,085, work required: none, swimming pool, gite / additional accommodation, income, parking",1,0,0
133676,Nagüeles,houses,"8 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 8, bathrooms: 6, floor size (m2): 872, plot size (m2): 5,528, work required: minor, swimming pool, gite / additional accommodation, income, jacuzzi, garage, parking",1,0,1
