id,location,type,area,price,over-valued (0/1),under-valued (0/1),normal (0/1)
44525,Golden Mile,houses,918.0,4400000,0,1,0
45465,Nagüeles,houses,393.0,1900000,1,0,0
130728,Golden Mile,houses,4903.0,32000000,0,0,1
130856,Nagüeles,plots,5528.0,2900000,0,0,1
130857,Golden Mile,apartments,530.0,3900000,1,0,0
130897,Golden Mile,houses,450.0,3148000,1,0,0
130917,Golden Mile,houses,845.0,2950000,0,1,0
130978,Nagüeles,houses,738.0,2400000,0,0,1
131037,Golden Mile,houses,603.0,1950000,0,1,0
131058,Golden Mile,houses,608.0,1850000,0,1,0
131259,Golden Mile,apartments,194.0,1150000,0,0,1
131274,Nagüeles,apartments,335.0,1100000,0,0,1
131297,Golden Mile,houses,127.0,995000,1,0,0
131403,Golden Mile,apartments,367.0,790000,0,1,0
131417,Nagüeles,houses,249.0,765000,0,0,1
131512,Nagüeles,houses,397.0,585000,0,1,0
131589,Nagüeles,houses,304.0,550000,0,1,0
131650,Nagüeles,houses,168.7,460000,0,1,0
131694,Golden Mile,apartments,77.0,415000,0,0,1
131703,Nagüeles,apartments,157.0,400000,0,1,0
131765,Nagüeles,houses,174.0,350000,0,1,0
131820,Nagüeles,houses,192.0,288750,0,1,0
131878,Nagüeles,apartments,130.0,260000,0,1,0
133646,Nagüeles,houses,672.0,4500000,1,0,0
133676,Nagüeles,houses,872.0,2900000,0,0,1
133733,Nagüeles,houses,382.0,2995000,1,0,0
133780,Nagüeles,houses,338.0,2580000,1,0,0
133794,Nagüeles,houses,450.0,2500000,1,0,0
133831,Golden Mile,apartments,199.0,2300000,1,0,0
133908,Nagüeles,houses,340.0,1790000,1,0,0
133938,Nagüeles,houses,434.0,1595000,0,0,1
133960,Nagüeles,houses,527.0,1495000,0,0,1
133961,Golden Mile,apartments,128.0,1350000,1,0,0
134014,Golden Mile,apartments,183.0,1300000,1,0,0
134023,Nagüeles,houses,233.0,1275000,1,0,0
134051,Golden Mile,apartments,172.0,1200000,1,0,0
