id,title,features,living_area,total_area,plot_area,price,pool,sea_view,garage,location,type,area,price_area,loc_type_mean_price,conta_under,conta_over,over_valued,under_valued,normal,aux1,aux2,aux3,aux4
130728,palatial villa on marbellas golden mile with panoramic sea views,"fireplace, elevator, terrace, mountain view, freight elevator, air conditioning, patio, guest toilet, garden, balcony, sea/lake view, built-in kitchen",0.0,4903.0,11000.0,32000000,0,0,0,Golden Mile,houses,4903.0,6526.616357332246,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
130856,large plot with fantastic views in nagueles,mountain view,0.0,0.0,5528.0,2900000,0,0,0,Nagüeles,plots,5528.0,524.602026049204,563.1206872904955,422.3405154678717,703.9008591131194,0,0,1,1,2,3,4
130857,modern design penthouse on second line beach golden mile,"elevator, terrace, alarm system, mountain view, swimming pool, air conditioning, basement, sea/lake view",220.0,530.0,0.0,3900000,1,0,0,Golden Mile,apartments,530.0,7358.490566037736,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
130897,spacious beachside villa casablanca marbella golden mile,"fireplace, elevator, terrace, alarm system, swimming pool, basement, guest toilet, built-in kitchen",411.0,450.0,600.0,3148000,1,0,0,Golden Mile,houses,450.0,6995.555555555556,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
130917,modern designer villa with stunning views golden mile,"fireplace, terrace, alarm system, mountain view, swimming pool, air conditioning, basement, patio, guest toilet, garden, sea/lake view, built-in kitchen",470.0,845.0,1000.0,2950000,1,0,0,Golden Mile,houses,845.0,3491.1242603550295,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
130978,beautiful villa at the top of nagueles with panoramic views,"security system, fireplace, terrace, jacuzzi, air conditioning, swimming pool, basement, sauna, gym, guest toilet, sea/lake view, built-in kitchen",619.0,738.0,1391.0,2400000,1,0,0,Nagüeles,houses,738.0,3252.032520325203,3047.855824614271,2285.8918684607033,3809.819780767839,0,0,1,1,2,3,4
131037,luxurious villa in private gated community marbella golden mile,"fireplace, elevator, terrace, alarm system, accessible for wheelchairs, mountain view, jacuzzi, swimming pool, air conditioning, basement, sauna, guest toilet, balcony, sea/lake view, built-in kitchen",403.0,603.0,0.0,1950000,1,0,0,Golden Mile,houses,603.0,3233.830845771144,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
131058,villa in luxurious gated community marbella golden mile,"elevator, mountain view, swimming pool, air conditioning, garden, sea/lake view, built-in kitchen",0.0,608.0,0.0,1850000,1,0,0,Golden Mile,houses,608.0,3042.7631578947367,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
131259,beachfront penthouse sea views las cañas marbella golden mile,"security system, elevator, terrace, mountain view, air conditioning, swimming pool, guest toilet, sea/lake view, built-in kitchen",124.0,194.0,0.0,1150000,1,0,0,Golden Mile,apartments,194.0,5927.835051546392,5135.613262929439,3851.709947197079,6419.516578661798,0,0,1,1,2,3,4
131274,duplex penthouse in nagueles with panoramic views,"security system, terrace, mountain view, air conditioning, swimming pool, sea/lake view, built-in kitchen",215.0,335.0,0.0,1100000,1,0,0,Nagüeles,apartments,335.0,3283.582089552239,3007.001076165497,2255.2508071241227,3758.7513452068715,0,0,1,1,2,3,4
131297,opportunity to buy beachfront villa under 1 million on the golden mile,"fireplace, terrace, swimming pool, garden, balcony, built-in kitchen",97.0,127.0,190.0,995000,1,0,0,Golden Mile,houses,127.0,7834.645669291339,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
131403,beautiful penthouse in the heart of the marbella's golden mile at a good price,"fireplace, elevator, terrace, alarm system, swimming pool, air conditioning, guest toilet, built-in kitchen",224.0,367.0,0.0,790000,1,0,0,Golden Mile,apartments,367.0,2152.5885558583104,5135.613262929439,3851.709947197079,6419.516578661798,0,1,0,1,2,3,4
131417,contemporary villa in nagueles,"fireplace, alarm system, mountain view, air conditioning, guest toilet, built-in kitchen",159.0,249.0,440.0,765000,0,0,0,Nagüeles,houses,249.0,3072.289156626506,3047.855824614271,2285.8918684607033,3809.819780767839,0,0,1,1,2,3,4
131512,beautiful villa for sale in nagueles marbella,"security system, fireplace, terrace, air conditioning, swimming pool, basement, garden, balcony, built-in kitchen",325.0,397.0,524.0,585000,1,0,0,Nagüeles,houses,397.0,1473.551637279597,3047.855824614271,2285.8918684607033,3809.819780767839,0,1,0,1,2,3,4
131589,beautifully presented corner townhouse in el tomillar de nagueles,"terrace, mountain view, jacuzzi, swimming pool, air conditioning, basement, patio, attic, garden, balcony, sea/lake view, built-in kitchen",189.0,304.0,0.0,550000,1,0,0,Nagüeles,houses,304.0,1809.2105263157894,3047.855824614271,2285.8918684607033,3809.819780767839,0,1,0,1,2,3,4
131650,great opportunity new townhouse in a top area of nagueles,"fireplace, terrace, accessible for wheelchairs, mountain view, swimming pool, air conditioning, basement, patio, lake view, guest toilet, garden, balcony, built-in kitchen",151.0,168.7,210.0,460000,1,0,0,Nagüeles,houses,168.7,2726.7338470657974,3047.855824614271,2285.8918684607033,3809.819780767839,0,0,1,1,2,3,4
131694,exceptional beachfront apartment opportunity in port oasis golden mile,"terrace, swimming pool, air conditioning, built-in kitchen, senior oriented",68.0,77.0,0.0,415000,1,0,0,Golden Mile,apartments,77.0,5389.61038961039,5135.613262929439,3851.709947197079,6419.516578661798,0,0,1,1,2,3,4
131703,beautiful corner apartment with private entrance in nagueles,"fireplace, terrace, swimming pool, garden",157.0,0.0,0.0,400000,1,0,0,Nagüeles,apartments,157.0,2547.770700636943,3007.001076165497,2255.2508071241227,3758.7513452068715,0,0,1,1,2,3,4
131765,townhouse at the best price in nagueles,"fireplace, swimming pool, air conditioning, garden",124.0,174.0,0.0,350000,1,0,0,Nagüeles,houses,174.0,2011.4942528735633,3047.855824614271,2285.8918684607033,3809.819780767839,0,1,0,1,2,3,4
131820,charming townhouse in nagueles,"fireplace, terrace, air conditioning, swimming pool, guest toilet, garden, sea/lake view, built-in kitchen",134.0,192.0,0.0,288750,1,0,0,Nagüeles,houses,192.0,1503.90625,3047.855824614271,2285.8918684607033,3809.819780767839,0,1,0,1,2,3,4
131878,bright apartment with private garden in nagueles,"fireplace, elevator, terrace, alarm system, swimming pool, air conditioning, garden, built-in kitchen",98.0,130.0,0.0,260000,1,0,0,Nagüeles,apartments,130.0,2000.0,3007.001076165497,2255.2508071241227,3758.7513452068715,0,1,0,1,2,3,4
133646,"13 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 13, bathrooms: 12, floor size (m2): 672, plot size (m2): 4,085, work required: none, swimming pool, gite / additional accommodation, income, parking",0.0,672.0,4085.0,4500000,1,0,0,Golden Mile,houses,672.0,6696.428571428572,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
133676,"8 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 8, bathrooms: 6, floor size (m2): 872, plot size (m2): 5,528, work required: minor, swimming pool, gite / additional accommodation, income, jacuzzi, garage, parking",0.0,872.0,5528.0,2900000,1,0,1,Golden Mile,houses,872.0,3325.6880733944954,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
133733,"5 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 5, bathrooms: 4, floor size (m2): 382, plot size (m2): 858, work required: none, swimming pool, infinity pool, garage",0.0,382.0,858.0,2995000,1,0,1,Golden Mile,houses,382.0,7840.314136125655,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
133780,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 6, floor size (m2): 338, plot size (m2): 2,500, work required: none, swimming pool, gite / additional accommodation, income, garage",0.0,338.0,2500.0,2580000,1,0,1,Golden Mile,houses,338.0,7633.136094674556,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
133794,"5 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 5, bathrooms: 5, floor size (m2): 450, plot size (m2): 3,000, work required: none, swimming pool, garage",0.0,450.0,3000.0,2500000,1,0,1,Golden Mile,houses,450.0,5555.555555555556,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
133831,"3 bedroom apartment for sale, el oasis club, marbella golden mile, malaga costa del sol","bedrooms: 3, bathrooms: 3, floor size (m2): 199, work required: none, swimming pool, garage, parking",0.0,199.0,0.0,2300000,1,0,1,Golden Mile,apartments,199.0,11557.788944723618,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
133908,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 3, floor size (m2): 340, plot size (m2): 2,060, swimming pool, balcony, garage, parking, private / not overlooked",0.0,340.0,2060.0,1790000,1,0,1,Golden Mile,houses,340.0,5264.705882352941,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
133938,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 5, floor size (m2): 434, plot size (m2): 1,434, work required: none, swimming pool, gite / additional accommodation, income, garage, parking",0.0,434.0,1434.0,1595000,1,0,1,Golden Mile,houses,434.0,3675.115207373272,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
133960,"10 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 10, bathrooms: 8, floor size (m2): 527, plot size (m2): 1,904, work required: none, swimming pool, jacuzzi, parking",0.0,527.0,1904.0,1495000,1,0,0,Golden Mile,houses,527.0,2836.812144212524,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
